GeneID	gene_id	Entrez	Phylostrata	mainAge
MSRA	ENSG00000175806	4482	1	UC
RPL13	ENSG00000167526	6137	1	UC
AARS2	ENSG00000124608	57505	1	UC
GNPAT	ENSG00000116906	8443	1	UC
ADD3	ENSG00000148700	120	1	UC
DSPP	ENSG00000152591	1834	1	UC
RPLP1	ENSG00000137818	6176	1	UC
ADSS	ENSG00000035687	159	1	UC
GANAB	ENSG00000089597	23193	1	UC
CBWD3	ENSG00000265880	55871	1	UC
RPL11	ENSG00000142676	6135	1	UC
HERC5	ENSG00000138646	51191	1	UC
SUCLG2	ENSG00000172340	8801	1	UC
GNPNAT1	ENSG00000100522	64841	1	UC
ABCF1	ENSG00000231129	23	1	UC
ADSSL1	ENSG00000185100	122622	1	UC
MRPL1	ENSG00000169288	65008	1	UC
FHIT	ENSG00000262683	2272	1	UC
ANKRD52	ENSG00000139645	283373	1	UC
ENO2	ENSG00000111674	2026	1	UC
NABP1	ENSG00000173559	64859	1	UC
PGAM1	ENSG00000171314	5223	1	UC
PDXP	ENSG00000241360	57026	1	UC
SAMHD1	ENSG00000101347	25939	1	UC
DDAH1	ENSG00000153904	23576	1	UC
MGMT	ENSG00000170430	4255	1	UC
NEU1	ENSG00000204386	4758	1	UC
ADH1A	ENSG00000187758	124	1	UC
GNS	ENSG00000135677	2799	1	UC
CLCN5	ENSG00000269240	1184	1	UC
PGAM2	ENSG00000164708	5224	1	UC
VARS2	ENSG00000234032	57176	1	UC
CBWD1	ENSG00000172785	55871	1	UC
AASDH	ENSG00000157426	132949	1	UC
ABCD4	ENSG00000119688	5826	1	UC
PSTK	ENSG00000179988	118672	1	UC
CYB5R3	ENSG00000100243	1727	1	UC
HMCN1	ENSG00000143341	83872	1	UC
PET112	ENSG00000059691	5188	1	UC
MDP1	ENSG00000213920	145553	1	UC
DMKN	ENSG00000161249	93099	1	UC
PANK2	ENSG00000125779	80025	1	UC
SLC27A4	ENSG00000167114	10999	1	UC
ICT1	ENSG00000167862	3396	1	UC
VARSL	ENSG00000236178	57176	1	UC
CLCN5	ENSG00000171365	1184	1	UC
ACSL3	ENSG00000123983	2181	1	UC
VARS2	ENSG00000137411	57176	1	UC
AHCY	ENSG00000101444	191	1	UC
NABP2	ENSG00000139579	79035	1	UC
ADD2	ENSG00000271760	119	1	UC
N6AMT1	ENSG00000156239	29104	1	UC
DHX16	ENSG00000233561	8449	1	UC
ABCA9	ENSG00000154258	10350	1	UC
IMPAD1	ENSG00000104331	54928	1	UC
ADH1B	ENSG00000196616	125	1	UC
AASDHPPT	ENSG00000149313	60496	1	UC
VARS2	ENSG00000206476	57176	1	UC
ENOSF1	ENSG00000132199	55556	1	UC
TUFM	ENSG00000178952	7284	1	UC
LIPT2	ENSG00000175536	387787	1	UC
POLR2J2	ENSG00000228049	246721	1	UC
TPRXL	ENSG00000180438	0	1	UC
ABCF1	ENSG00000206490	23	1	UC
MGLL	ENSG00000074416	11343	1	UC
GALM	ENSG00000143891	130589	1	UC
DPYSL3	ENSG00000113657	1809	1	UC
NME1	ENSG00000239672	4830	1	UC
HERC6	ENSG00000138642	55008	1	UC
CLCN3	ENSG00000109572	1182	1	UC
HMCES	ENSG00000183624	56941	1	UC
ATP6V0A2	ENSG00000185344	23545	1	UC
NAT8L	ENSG00000185818	339983	1	UC
CBWD2	ENSG00000136682	55871	1	UC
ZBTB8OS	ENSG00000176261	339487	1	UC
FBP1	ENSG00000165140	2203	1	UC
ABCB1	ENSG00000085563	5243	1	UC
ABHD3	ENSG00000158201	171586	1	UC
CBR1	ENSG00000159228	873	1	UC
FIGNL1	ENSG00000132436	63979	1	UC
HOGA1	ENSG00000241935	112817	1	UC
HMBS	ENSG00000261883	3145	1	UC
ENOPH1	ENSG00000145293	58478	1	UC
VARS2	ENSG00000223494	57176	1	UC
RPLP2	ENSG00000177600	6181	1	UC
DHX16	ENSG00000206486	8449	1	UC
DHX16	ENSG00000233418	8449	1	UC
GK5	ENSG00000175066	256356	1	UC
XPNPEP1	ENSG00000108039	7511	1	UC
NSDHL	ENSG00000269336	50814	1	UC
GALNS	ENSG00000141012	2588	1	UC
HAL	ENSG00000084110	3034	1	UC
PTGR1	ENSG00000106853	22949	1	UC
CBS	ENSG00000160200	875	1	UC
ECI2	ENSG00000198721	10455	1	UC
CLP1	ENSG00000172409	10978	1	UC
RDH12	ENSG00000139988	145226	1	UC
ME2	ENSG00000082212	4200	1	UC
GOT1	ENSG00000120053	2805	1	UC
DPYD	ENSG00000188641	1806	1	UC
