Chr	Start	End	UC	EM	MM
1	831895	848168	1	1	1
1	848169	850618	1	1	1
1	850619	874081	1	1	1
1	889424	903640	2	2	1
1	903641	927394	1	2	1
1	927395	936954	1	2	1
1	943677	957199	2	1	2
1	1005127	1034268	1	2	1
1	1049052	1062659	1	2	1
1	1096739	1107115	1	1	1
1	1107116	1109732	1	2	1
1	1109733	1122642	1	2	1
1	1126526	1150969	1	2	2
1	1160798	1206873	2	2	1
1	1206874	1212438	2	1	1
1	1212439	1220554	1	1	2
1	1239426	1278099	2	2	1
1	1283837	1305518	1	2	1
1	1309969	1313315	1	2	1
1	1313316	1350443	2	1	1
1	1350901	1364313	1	1	1
1	1364314	1373173	1	2	1
1	1373174	1385407	1	1	1
1	1398654	1415810	2	1	1
1	1465274	1482323	2	1	1
1	1505407	1516638	2	1	1
1	1533887	1545982	1	1	2
1	1545983	1552729	1	2	1
1	1562478	1580659	1	2	1
1	1648711	1672992	1	1	1
1	1675748	1680895	1	1	1
1	1709350	1729790	2	1	1
1	1820953	1830463	2	1	1
1	1842635	1852429	1	2	1
1	1927763	1955954	2	2	1
1	1980724	1991491	1	2	1
1	2104999	2122560	1	1	1
1	2143648	2147289	1	1	2
1	2155766	2166195	1	2	1
1	2319572	2324377	2	1	1
1	2335725	2351765	2	1	1
1	2354920	2357804	2	1	1
1	2387105	2417285	2	1	1
1	2420090	2426369	1	1	1
1	2450976	2458432	1	1	1
1	2458433	2495896	1	2	1
1	2514865	2526252	2	1	1
1	2556307	2565296	2	1	1
1	2696923	2710654	1	2	1
1	2927637	2944794	1	1	2
1	2985230	2988777	1	2	1
1	3038738	3060454	1	1	1
1	3370481	3383373	1	2	1
1	3470648	3481073	1	1	1
1	3522935	3531183	1	1	1
1	3531260	3544978	1	2	1
1	3565776	3577339	2	2	1
1	3581866	3590779	1	1	1
1	3590780	3638062	1	2	1
1	3665843	3671123	1	2	1
1	3688547	3690323	1	1	1
1	3705943	3720839	2	1	1
1	3768441	3797948	2	1	1
1	3815536	3819683	1	2	1
1	4706843	4717666	1	2	1
1	5861508	5877773	1	1	1
1	6049670	6053523	2	1	1
1	6220817	6245036	2	1	1
1	6258535	6274327	2	2	1
1	6286260	6297166	2	1	1
1	6297167	6308873	1	2	1
1	6309134	6323213	1	2	1
1	6440860	6466926	2	1	1
1	6517223	6531281	1	2	2
1	6553634	6581701	1	2	1
1	6597457	6614861	2	1	1
1	6614862	6634284	1	2	1
1	6635296	6647590	1	2	1
1	6669510	6675892	1	2	1
1	6683584	6688403	1	2	1
1	6746419	6763387	2	1	1
1	6808226	6817296	1	1	1
1	6840889	6845265	1	1	1
1	6845266	6861033	1	2	1
1	7071461	7078881	1	1	1
1	7279196	7281793	1	1	1
