frag	phylostrata	mainAge
chr1_100596834_100598665	2	UC
chr1_100598666_100607640	2	UC
chr1_100634352_100646989	8	EM
chr1_100713369_100722257	1	UC
chr1_10085512_10094202	2	UC
chr1_100726257_100738062	1	UC
chr1_100802776_100812107	2	UC
chr1_101000525_101008738	8	EM
chr1_101185010_101186035	8	EM
chr1_943677_957199	2	UC
chr1_101360898_101363055	1	UC
chr1_103573294_103579205	1	UC
chr1_104064837_104072493	2	UC
chr1_104093605_104100407	1	UC
chr1_10445370_10461020	1	UC
chr1_10531217_10535627	3.5	EM
chr1_1005127_1034268	8	EM
chr1_107597030_107599359	2	UC
chr1_107599360_107602395	2	UC
chr1_107679340_107685361	8	EM
chr1_108507083_108511712	4	EM
chr1_109102497_109108895	6	EM
chr1_109225380_109237643	1	UC
chr1_109283997_109290654	8	EM
chr1_109496842_109513130	6	EM
chr1_109611323_109625093	2	UC
chr1_109654432_109658005	5	EM
chr1_109751344_109757285	1	UC
chr1_109790232_109798268	4	EM
chr1_109822236_109835489	10	MM
chr1_109931293_109941567	2	UC
chr1_109965661_109970694	1	UC
chr1_110022879_110029212	2	UC
chr1_110036305_110039664	8	EM
chr1_110080432_110083450	8	EM
chr1_110088719_110094876	2	UC
chr1_110149333_110166948	2	UC
chr1_110196942_110202242	2	UC
chr1_110269914_110284845	2	UC
chr1_110305446_110308195	8	EM
chr1_11039443_11046834	13	MM
chr1_110444689_110454787	10	MM
chr1_110522706_110534653	4	EM
chr1_110571690_110578448	2	UC
chr1_11065147_11085725	5	EM
chr1_110609864_110614855	8	EM
chr1_110651169_110659426	6	EM
chr1_110691886_110696414	4	EM
chr1_110750306_110770944	4	EM
chr1_11085726_11113120	5	EM
chr1_110877271_110891157	4	EM
chr1_110929032_110936018	6	EM
chr1_110943765_110952217	5	EM
chr1_110983086_110994350	8	EM
chr1_111061213_111066221	8	EM
chr1_11113121_11122975	1	UC
chr1_111171739_111176704	2	UC
chr1_111214898_111219608	2	UC
chr1_111415628_111420122	10	MM
chr1_11158746_11163451	1	UC
chr1_111678854_111684197	4	EM
chr1_111742392_111746618	11	MM
chr1_111746619_111749211	2	UC
chr1_111887921_111890552	4	EM
chr1_1049052_1062659	8	EM
chr1_111990420_111993325	4	EM
chr1_112014292_112018606	12	MM
chr1_112045636_112047630	11	MM
chr1_112084705_112088359	2	UC
chr1_112294296_112300306	5	EM
chr1_11248311_11249465	5	EM
chr1_112933412_112943864	6	EM
chr1_113005482_113010005	5	EM
chr1_11321726_11322699	2	UC
chr1_113161259_113162086	2	UC
chr1_113162604_113168347	5	EM
chr1_113210686_113231964	2	UC
chr1_113246774_113258924	9	EM
chr1_113262148_113272191	8	EM
chr1_113497239_113505522	3	UC
chr1_113600149_113620258	4	EM
chr1_113931665_113934630	4	EM
chr1_114352796_114357761	4	EM
chr1_114407053_114415028	6	EM
chr1_114429479_114430545	8	EM
chr1_114444643_114452891	2	UC
chr1_114470859_114473031	2	UC
chr1_114520685_114523760	8	EM
chr1_115051914_115054660	5	EM
chr1_115116274_115125080	2	UC
chr1_115209974_115216787	2	UC
chr1_115236483_115238301	2	UC
