chr1	start1	end1	chr2	start2	end2	frag1	frag2	bait_name	otherEnd_name
1	927395	936954	1	1206874	1212438	1_927395_936954	1_1206874_1212438	HES4;RP11-54O7.17	RP5-902P8.10;UBE2J2
1	927395	936954	1	1309969	1313315	1_927395_936954	1_1309969_1313315	HES4;RP11-54O7.17	AURKAIP1
1	927395	936954	1	1364314	1373173	1_927395_936954	1_1364314_1373173	HES4;RP11-54O7.17	RP4-758J18.10;VWA1
1	943677	957199	1	903641	927394	1_943677_957199	1_903641_927394	AGRN;ISG15;RP11-54O7.11	C1orf170;PLEKHN1
1	943677	957199	1	1206874	1212438	1_943677_957199	1_1206874_1212438	AGRN;ISG15;RP11-54O7.11	RP5-902P8.10;UBE2J2
1	1005127	1034268	1	1206874	1212438	1_1005127_1034268	1_1206874_1212438	C1orf159;RNF223	RP5-902P8.10;UBE2J2
1	1049052	1062659	1	1206874	1212438	1_1049052_1062659	1_1206874_1212438	C1orf159	RP5-902P8.10;UBE2J2
1	1049052	1062659	1	1309969	1313315	1_1049052_1062659	1_1309969_1313315	C1orf159	AURKAIP1
1	1107116	1109732	1	1206874	1212438	1_1107116_1109732	1_1206874_1212438	TTLL10	RP5-902P8.10;UBE2J2
1	1109733	1122642	1	1206874	1212438	1_1109733_1122642	1_1206874_1212438	TTLL10-AS1;TTLL10	RP5-902P8.10;UBE2J2
1	1126526	1150969	1	903641	927394	1_1126526_1150969	1_903641_927394	TNFRSF18;TNFRSF4	C1orf170;PLEKHN1
1	1126526	1150969	1	1107116	1109732	1_1126526_1150969	1_1107116_1109732	TNFRSF18;TNFRSF4	TTLL10
1	1126526	1150969	1	1109733	1122642	1_1126526_1150969	1_1109733_1122642	TNFRSF18;TNFRSF4	TTLL10-AS1;TTLL10
1	1126526	1150969	1	1206874	1212438	1_1126526_1150969	1_1206874_1212438	TNFRSF18;TNFRSF4	RP5-902P8.10;UBE2J2
1	1126526	1150969	1	1239426	1278099	1_1126526_1150969	1_1239426_1278099	TNFRSF18;TNFRSF4	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3
1	1160798	1206873	1	903641	927394	1_1160798_1206873	1_903641_927394	B3GALT6;FAM132A;RP5-902P8.12;SDF4;UBE2J2	C1orf170;PLEKHN1
1	1206874	1212438	1	903641	927394	1_1206874_1212438	1_903641_927394	RP5-902P8.10;UBE2J2	C1orf170;PLEKHN1
1	1206874	1212438	1	927395	936954	1_1206874_1212438	1_927395_936954	RP5-902P8.10;UBE2J2	HES4;RP11-54O7.17
1	1206874	1212438	1	1107116	1109732	1_1206874_1212438	1_1107116_1109732	RP5-902P8.10;UBE2J2	TTLL10
1	1212439	1220554	1	903641	927394	1_1212439_1220554	1_903641_927394	SCNN1D	C1orf170;PLEKHN1
1	1283837	1305518	1	903641	927394	1_1283837_1305518	1_903641_927394	DVL1;MXRA8	C1orf170;PLEKHN1
1	1505407	1516638	1	1309969	1313315	1_1505407_1516638	1_1309969_1313315	AL645728.1;AL645728.3;SSU72	AURKAIP1
1	1505407	1516638	1	1545983	1552729	1_1505407_1516638	1_1545983_1552729	AL645728.1;AL645728.3;SSU72	MIB2;RP11-345P4.9
1	2155766	2166195	1	2319572	2324377	1_2155766_2166195	1_2319572_2324377	SKI	MORN1;RER1
1	2319572	2324377	1	47183266	47194316	1_2319572_2324377	1_47183266_47194316	MORN1;RER1	EFCAB14
1	2696923	2710654	1	2319572	2324377	1_2696923_2710654	1_2319572_2324377	TTC34	MORN1;RER1
1	2696923	2710654	1	2335725	2351765	1_2696923_2710654	1_2335725_2351765	TTC34	PEX10
1	2696923	2710654	1	2354920	2357804	1_2696923_2710654	1_2354920_2357804	TTC34	PLCH2
1	3815536	3819683	1	6258535	6274327	1_3815536_3819683	1_6258535_6274327	C1orf174;LINC01134	RNF207;RP1-120G22.11;RPL22
1	3815536	3819683	1	38156332	38160858	1_3815536_3819683	1_38156332_38160858	C1orf174;LINC01134	C1orf109;CDCA8
1	6049670	6053523	1	3815536	3819683	1_6049670_6053523	1_3815536_3819683	KCNAB2;NPHP4	C1orf174;LINC01134
1	6049670	6053523	1	6220817	6245036	1_6049670_6053523	1_6220817_6245036	KCNAB2;NPHP4	CHD5
1	6049670	6053523	1	6258535	6274327	1_6049670_6053523	1_6258535_6274327	KCNAB2;NPHP4	RNF207;RP1-120G22.11;RPL22
1	6049670	6053523	1	31188386	31193343	1_6049670_6053523	1_31188386_31193343	KCNAB2;NPHP4	MATN1-AS1;MATN1
1	6258535	6274327	1	3815536	3819683	1_6258535_6274327	1_3815536_3819683	RNF207;RP1-120G22.11;RPL22	C1orf174;LINC01134
1	6440860	6466926	1	6258535	6274327	1_6440860_6466926	1_6258535_6274327	ACOT7;RP1-202O8.3	RNF207;RP1-120G22.11;RPL22
1	6440860	6466926	1	6297167	6308873	1_6440860_6466926	1_6297167_6308873	ACOT7;RP1-202O8.3	HES3;LINC00337
1	6597457	6614861	1	6669510	6675892	1_6597457_6614861	1_6669510_6675892	NOL9;RNU6-731P;RP11-58A11.2	KLHL21;PHF13
1	6597457	6614861	1	6683584	6688403	1_6597457_6614861	1_6683584_6688403	NOL9;RNU6-731P;RP11-58A11.2	THAP3
